component_a_step27,component_b_step27,best_sample_id_a,best_sample_id_b,best_mode,best_n_waypoints,best_search_joint_barrier_fullgrid,best_search_max_score,best_search_min_r_fullgrid_dt0p1,any_verified_strict_bridge
0,1,3687,29959,native_aux,2,1.240267621173018,0.077077367457218,1.3190133452031008,False
0,2,44207,6113,flex_aux,2,1.1537864856888065,0.0623928855769782,1.4178789266836234,False
0,3,13577,37318,native_aux,3,1.4867617593750495,0.0719798851370912,1.1003306573059604,False
1,2,29959,6113,native_aux,2,0.971251448669448,0.0498192524742826,1.6843522305080032,True
1,3,29959,37318,flex_aux,2,1.5495477047197752,0.0776822478563636,1.055746485873025,False
2,3,6113,37318,native_aux,2,1.5088682200291976,0.0719798851370912,1.084209689245664,False
