sample_id,role,rationale,final_regime,calibration_score_corrected,strict_component_size,native_component_size,G_peak,tau_G_ms,r_plateau_dt0p05,control_plateau_PO_dt0p05,blocked_plateau_PO_dt0p05,corrected_rank
30902,primary_typical_dominant_native,closest dominant-native response to the median experimental potentiating ratio,dominant_native_connected,0.015876503142275,36,35,0.5,30.0,1.867717504052452,0.0006468573465658,0.0012081467888059,1535
1900,best_calibrated_dominant_native,minimum corrected calibration score within the dominant native-connected region,dominant_native_connected,0.0024290482190339,36,35,0.15,40.0,2.4650289779771923,4.199358080135685e-06,1.0351539356437132e-05,212
18319,minimum_experimental_match_dominant_native,closest dominant-native response to the smallest experimental potentiating ratio,dominant_native_connected,0.0411958200496919,36,35,0.65,20.0,1.6380895870690209,0.0021342172336024,0.0034960390269074,3180
27084,extreme_experimental_match_dominant_native,closest dominant-native response to the largest experimental potentiating ratio,dominant_native_connected,0.0476400260926178,36,35,0.4,20.0,3.973796311140765,0.0011742717165773,0.0046663166156119,3522
10052,largest_response_dominant_native,largest confirmed response within the dominant native-connected region; denominator retained explicitly,dominant_native_connected,0.0045072059678528,36,35,0.3,30.0,10.51482695647992,6.62166362186692e-05,0.0006962564714794,460
6113,secondary_region_representative,best calibrated member of the secondary native-connected three-vector region,secondary_native_connected,0.0088711387732784,3,3,0.95,40.0,1.7267320558449233,0.0023595227482301,0.0040742635658642,942
29419,flex_aux_only_accession,member joining the dominant strict network only when endpoint-preserving auxiliary-coordinate flexibility is allowed,dominant_flex_only_accession,0.0804880809689153,36,1,0.95,30.0,1.6646579596348037,0.006593548922248,0.0109760036956617,4997
37318,historical_witness_sensitivity,historical witness retained as an atypical sensitivity solution rather than the primary representative,historical_witness_singleton,0.0719798851370888,1,1,0.95,10.0,1.874469745118276,0.1165261862433262,0.2184248106271324,4635
