center_sample_id,center_role,perturbation_fraction,n,strong_fraction,compatible_strict_fraction,joint_strict_fraction,median_r_plateau,median_control_plateau_PO,median_corrected_score,min_r_plateau,max_corrected_score
30902,primary_typical_dominant_native,0.05,1000,1.0,1.0,1.0,1.8623155378110834,0.0006498667969495501,0.01617376814771937,1.7611316303775002,0.04489746503354821
30902,primary_typical_dominant_native,0.1,1000,1.0,0.977,0.977,1.8540780777491053,0.0006544371180252963,0.016544804009108786,1.6611408238123528,0.10674330719251217
1900,best_calibrated_dominant_native,0.05,1000,1.0,1.0,1.0,2.4610268323839977,4.207322183829158e-06,0.0031178451125072892,2.291626524410279,0.013653618770237677
1900,best_calibrated_dominant_native,0.1,1000,1.0,1.0,1.0,2.448616163759096,4.248641191412305e-06,0.005481965481429454,2.0967483573927765,0.04445450121419841
6113,secondary_region_representative,0.05,1000,1.0,1.0,1.0,1.7275742572318302,0.0023466449290650937,0.009756568238047507,1.6384774485638138,0.01785352292572271
6113,secondary_region_representative,0.1,1000,0.926,1.0,0.926,1.7272171921503292,0.002363429674647933,0.012299634826987517,1.5657204489833985,0.03828924449828376
37318,historical_witness_sensitivity,0.05,1000,1.0,0.615,0.615,1.87285208137294,0.1166730096776878,0.07406329324624383,1.7826614933459126,0.14085174076645804
37318,historical_witness_sensitivity,0.1,1000,1.0,0.567,0.567,1.8723550269123292,0.11603197116721264,0.07267101183168542,1.7035714111419178,0.2305694813252409
