perturbation_pct,n,strong_at_witness_forcing_fraction,strong_with_local_forcing_rescue_fraction,control_compatible_midpoint_fraction,control_compatible_strict_maxaccepted_fraction,strong_and_control_compatible_fraction,strong_and_control_compatible_MC_CI95_low,strong_and_control_compatible_MC_CI95_high,inside_original_coordinate_box_fraction,median_calibration_score,q05_calibration_score,q95_calibration_score,median_r_fixed,median_r_localmax,max_r_localmax
2,3000,1.0,1.0,1.0,1.0,1.0,0.9991631058050586,1.0,1.0,0.3656632000602331,0.34267365243667647,0.3892714884860016,1.8744328940351962,1.8744328940351962,1.9159783368313084
5,3000,1.0,1.0,1.0,1.0,1.0,0.9991631058050586,1.0,1.0,0.3664072898004457,0.30822120714316337,0.427881248880028,1.8743080460535362,1.8743080460535362,1.981159874906132
10,3000,1.0,1.0,0.995,0.995,0.995,0.9919742356732344,0.997074079454524,0.847,0.367761338717452,0.26711600834561167,0.5058228721096855,1.8724972309693493,1.8724972309693493,2.1060821819646365
20,3000,0.9793333333333333,0.9793333333333333,0.8753333333333333,0.8753333333333333,0.8643333333333333,0.8517303643233096,0.8762337360637191,0.566,0.3721348093618303,0.2147894711769036,0.6863421731444607,1.8659537055548334,1.8659537055548334,2.3104834180585367
