prior,experimental_n_potentiating,experimental_target_min,experimental_target_median,experimental_target_max,Base_fraction_parameter_sets_any_Braess_somewhere,Base_fraction_forcing_nodes_with_any_Braess,Base_maximum_node_Braess_fraction,Base_representative_maximum_node,Base_confirmed_representative_Braess_fraction_dt0p1,Base_confirmed_representative_Braess_r_median_dt0p1,Base_global_max_r_plateau,Base_fraction_parameter_sets_reaching_experimental_min_somewhere,paired_context_Braess_fraction_sB0p05,paired_context_delta_Braess_fraction_sB0p05,paired_context_Braess_fraction_sB0p01,full5000_fixed_node_Braess_fraction_sB0p05,full5000_fixed_node_empirical_span_fraction_sB0p05,full5000_fixed_node_Braess_fraction_sB0p01,full5000_fixed_node_empirical_span_fraction_sB0p01,dual_secondary_Braess_fraction,dual_secondary_Braess_r_median
broad,5,1.6359295439505144,1.876748270394414,4.072558998570809,0.3124,1.0,0.2938,G950_T100,0.2938,1.0084256896663175,1.87464407723554,0.0002,0.7379166666666667,0.6332083333333334,0.9865833333333334,0.8064,0.1658,0.9896,0.2384,0.1396,1.0935217792329586
reference,5,1.6359295439505144,1.876748270394414,4.072558998570809,0.985,0.925,0.9814,G950_T100,0.9814,1.0071815995196145,1.2621194049418076,0.0,0.1300416666666666,-0.2777083333333333,0.886625,0.1094,0.0,0.9652,0.0464,0.042,1.0266399550245289
