sample_id_a,sample_id_b,standardized_log_rate_distance
232,1091,3.2485524509730777
232,1900,3.4782937432933148
232,3687,2.7496915042734638
232,6113,4.539588615653141
232,6863,4.3707706917793745
232,7273,3.9223774940102163
232,8859,4.118750290752202
232,10052,3.555075097438837
232,12080,4.27872791609204
232,13577,3.617814259909044
232,13715,3.6365232144025565
232,15395,4.494703237244718
232,16950,3.1979781418895015
232,17407,3.9436206220964776
232,18319,4.371385289892425
232,26689,2.7953452917282764
232,27084,3.5307997510677724
232,27495,4.4120541545854355
232,27498,3.9628360347051474
232,27872,3.2224505939981753
232,28451,3.3380036015755645
232,28634,4.10938929627687
232,29419,3.5949282976229746
232,29959,4.184160920014631
232,30902,2.6101143054425817
232,31498,4.401859508817546
232,32755,4.278054022367125
232,34287,4.3433654530580394
232,36402,3.509636913909401
232,37318,5.6735152185651865
232,38506,5.08704252492214
232,39172,3.2614113424699784
232,41698,5.105367317248589
232,43651,3.53575000093002
232,44207,5.143759314649661
232,46580,4.486766090723772
232,46829,3.559565575774421
232,47327,3.609725417490667
232,49029,3.9103330327671344
1091,1900,3.9668234543271352
1091,3687,2.631074256287019
1091,6113,4.537473407306953
1091,6863,4.503829964635556
1091,7273,3.2101737020448002
1091,8859,3.1276743473735724
1091,10052,3.546212132441411
1091,12080,3.8373738709853153
1091,13577,3.625721804182574
1091,13715,3.0463029692114274
1091,15395,4.185534806596632
1091,16950,2.694165549975932
1091,17407,3.2160881467131
1091,18319,4.135706860181482
1091,26689,2.6131935790193443
1091,27084,3.1188594070904383
1091,27495,3.3420882089954738
1091,27498,4.121672387233348
1091,27872,2.0150434445658374
1091,28451,3.3659954574464837
1091,28634,3.938415422940365
1091,29419,3.172109649152312
1091,29959,4.533160768551125
1091,30902,2.548561837728155
1091,31498,3.989367957383409
1091,32755,3.7783260959241245
1091,34287,2.553206714585237
1091,36402,4.308920255529933
1091,37318,5.430826207042484
1091,38506,4.8721324015271
1091,39172,3.852205627546552
1091,41698,3.9002940130373345
1091,43651,2.982945157194603
1091,44207,3.5756072003338133
1091,46580,3.0174836971653254
1091,46829,4.050711632165826
1091,47327,3.246548693847065
1091,49029,3.2720121758224328
1900,3687,3.3106628598414183
1900,6113,5.734218122497271
1900,6863,4.98387880730763
1900,7273,3.410220553962065
1900,8859,2.971782216931555
1900,10052,3.562102987074312
1900,12080,4.335340792270694
