sample_id,roles,optics_label,calibration_score_corrected,G_peak,tau_G_ms,r_plateau_dt0p05,control_plateau_PO_dt0p05
1900,best_calibrated_strong,-1,0.0024290482190339,0.15,40.0,2.4650289779771923,4.199358080135685e-06
37318,experimental_typical_match,-1,0.0719798851370888,0.95,10.0,1.8744697451182757,0.11652618624332621
27084,extreme_experimental_match,0,0.0476400260926178,0.4,20.0,3.9737963111407653,0.0011742717165773337
10052,largest_confirmed_response,0,0.0045072059678528,0.3,30.0,10.514826956479919,6.62166362186692e-05
18319,minimum_experimental_match,-1,0.0411958200496919,0.65,20.0,1.6380895870690209,0.002134217233602452
49029,optics_cluster_0_medoid,0,0.0746899848533116,0.3,40.0,2.8480771343203637,0.001544113556054766
