sample_id,condition_id,G_peak,tau_G_ms,forcing_pulse_increment_x,control_plateau_PO_dt0p1,blocked_plateau_PO_dt0p1,r_plateau_dt0p1,minimum_state_control_dt0p1,minimum_state_blocked_dt0p1,dt_ms,forcing_pulse_increment_y,control_plateau_PO_dt0p05,blocked_plateau_PO_dt0p05,r_plateau_dt0p05,minimum_state_control_dt0p05,minimum_state_blocked_dt0p05,calibration_score_corrected,corrected_rank,control_plateau_PO_140_250,control_early_PO_140_200,control_late_PO_200_500,control_charge_PO_ms,control_integrated_open_state_140_500_ms,kon_A_per_ms,kon_B_per_ms,koff_A_per_ms,koff_B_per_ms,kf_plus_per_ms,ks_plus_per_ms,kf_minus_per_ms,ks_minus_per_ms,kd1_plus_per_ms,kd1_minus_per_ms,kd2_plus_per_ms,kd2_minus_per_ms,pulse_amplitude_au,glutamate_tau_ms,r_abs_dt_difference,r_rel_dt_difference,strong_dt0p1,strong_confirmed_dt0p05,strong_classification_same
10052,G300_T300,0.3,30.0,0.0679703376828459,6.616420784461883e-05,0.0006959040266104,10.517832061780531,0.0,0.0,0.1,0.06797033768284591,6.62166362186692e-05,0.0006962564714794874,10.514826956479919,0.0,0.0,0.0045072059678528,460.0,3.3937685628023774e-05,3.726348514454297e-05,2.1167202752751565e-05,0.1163220706879538,0.008585969934498,2.2001220656202065,0.6029706869711292,1.5867922885642205,0.022299459837967,0.5016234386740213,0.1511570603894753,0.7375380860155669,0.7181940628863113,0.0095754766298379,0.1067032607384072,1.4164345257046371,0.0004001799511279,0.1815837404874221,28.85283358458329,0.0030051053006125983,0.00028579693351592987,True,True,True
27084,G400_T200,0.4,20.0,0.1503117420853041,0.0011733462025303,0.0046625546205419,3.9737245584356913,0.0,0.0,0.1,0.15031174208530412,0.0011742717165773337,0.004666316615611943,3.9737963111407653,0.0,0.0,0.0476400260926178,3522.0,0.0003692266728403,0.0004132667165388,0.0002522110797962,1.0439220489736674,0.1004593269311879,0.9123711185398556,0.454507463335552,0.6122732058299801,0.0054784367841721,0.2658075473820116,0.4070840798409506,0.3099960091586744,0.5501033309812372,0.1262548464673789,0.4048951820300551,0.7305317504598479,0.0005224163573627,0.6504440130548192,20.310696581479377,7.175270507397968e-05,1.805646275145429e-05,True,True,True
3687,G800_T400,0.8,40.0,0.4994407169892386,5.825248221364144e-05,0.0002034166537619,3.491982590817002,0.0,0.0,0.1,0.4994407169892386,5.826777693736179e-05,0.0002034885066824845,3.492299129607019,0.0,0.0,0.077035852757876,4867.0,1.6526746861943544e-05,1.990208541333285e-05,1.0828499838916254e-05,0.0487306276803611,0.0044426750764748,0.2607692474541931,0.6144540738854791,1.478760940982932,0.0010264121634041,0.1501056270260597,0.113067652141327,0.2580068314259001,1.2093457410821007,0.0743504740872255,0.0111781603553602,1.3094612206207592,0.0005589691868103,1.522292861051143,13.331567032854952,0.00031653879001680707,9.063908281316856e-05,True,True,True
6863,G950_T150,0.95,15.0,5.477478361098833,0.0001056337795634,0.0003058456118317,2.895339096031916,0.0,0.0,0.1,5.477478361098833,0.00010564466500467332,0.00030585522188839514,2.8951317312129796,0.0,0.0,0.0198607644609526,1851.0,4.447429360150941e-05,5.026788481080562e-05,2.9432716476354376e-05,0.0672355073267444,0.0118458880315546,0.1631641084127956,0.1413525367040191,0.9207549281761116,0.0031294350690316,1.189407179933894,0.0157806915208851,1.5641031381261148,0.2331820109709248,1.0880197671810732,0.0011843193731321,0.0054729387057903,0.0136513421956941,1.8803581088197323,21.30357102224744,0.00020736481893646186,7.162534840844074e-05,True,True,True
49029,G300_T400,0.3,40.0,0.0535115053917041,0.0015435468672534,0.0043959467219961,2.8479515687256822,0.0,0.0,0.1,0.05351150539170412,0.001544113556054766,0.004397754511793684,2.8480771343203637,0.0,0.0,0.0746899848533116,4747.0,0.000312916128711,0.0003660730033407,0.0002130453640189,0.6698859977826163,0.0858779894061119,1.745410172940446,1.215929597407838,1.9889534121208403,0.0068280078819255,0.1454579052687717,0.2778226435765207,0.4202552116938689,0.225132234571287,0.0257348765708818,0.059313205104349,0.9195512895597404,0.0018927038460653,1.4793756838785503,5.974503082553583,0.0001255655946814649,4.408784901516672e-05,True,True,True
39172,G950_T400,0.95,40.0,2.3723434056988806,1.2738131202463258e-06,3.522822300618991e-06,2.765572315613894,0.0,0.0,0.1,2.3723434056988806,1.2739237864073924e-06,3.5233122710469954e-06,2.7657166846559402,0.0,0.0,0.0751499399478616,4768.0,5.100436674778525e-07,6.003942478699803e-07,3.454109620292251e-07,0.0010945476061957,0.0001396469434809,0.1771052009941531,0.6487582122137543,1.997221401366376,0.0037828548935624,0.1348751294399883,0.0155795356213152,0.8344996934480626,1.8110145357998213,0.0170713243448522,0.1242826412357352,1.6553047986521192,0.0009847470284395,0.7751065003106191,18.909881209610266,0.00014436904204639944,5.219950504957784e-05,True,True,True
43651,G650_T200,0.65,20.0,0.4187255672376329,0.0016153237573493,0.0043073144767463,2.666533230350322,0.0,0.0,0.1,0.41872556723763293,0.0016159084557487765,0.004308742310374243,2.6664519855969604,0.0,0.0,0.021122048238902,1951.0,0.0003995263053583,0.0004599655886167,0.000259468063793,0.7582372914960559,0.105438354454902,0.2702789923529883,0.5708610930802472,1.05186934598667,0.003401239571866,0.2181781682223005,0.2409572746108034,0.3979652424104235,0.1153101198104452,0.3860092355041873,0.0057833631798,1.672926379872275,0.0004549808082846,1.7764009555693836,10.755077978972006,8.12447533617977e-05,3.0469235448696363e-05,True,True,True
47327,G650_T400,0.65,40.0,0.2318831900307179,0.0004173337418548,0.001108049876055,2.6550689889828925,0.0,0.0,0.1,0.2318831900307179,0.00041742075724949396,0.001108396143732328,2.655345055276768,0.0,0.0,0.0723587862831813,4651.0,0.0001623217602969,0.0001958404722383,0.0001018147275019,0.215636389226149,0.042294846584868,1.4677619015061587,0.2648179885939589,1.934128445815076,0.0302142716984684,0.9527875937417386,0.0251933228018347,0.1783312981145711,0.6612311100338333,1.422940166214422,0.002487219524607,0.1211170818220244,0.0004157172969277,1.0671478612346392,10.036565048498288,0.0002760662938756653,0.00010396625980004347,True,True,True
1900,G150_T400,0.15,40.0,0.0220341492789369,4.197451648829253e-06,1.0344719095950122e-05,2.464523706624579,0.0,0.0,0.1,0.02203414927893699,4.199358080135685e-06,1.0351539356437132e-05,2.4650289779771923,0.0,0.0,0.0024290482190339,212.0,1.3722493020801474e-06,1.5342417152405246e-06,8.78413953750311e-07,0.0024821609515311,0.0003555786890395,1.5786985357744516,2.547029450558162,0.4911032709168706,0.0286621447912829,0.1244683370774107,0.012042787682498,1.7374592763087422,0.5457762888313006,0.2932267475103853,0.0056137535340637,0.635397857005711,0.0003467450458982,0.3250764520530703,8.778928962474936,0.0005052713526132457,0.00020497582670523916,True,True,True
46829,G500_T400,0.5,40.0,0.1248601792473096,4.598727992607602e-05,0.0001109770943961,2.413212840039661,0.0,0.0,0.1,0.12486017924730962,4.5992668591912285e-05,0.00011100224522923627,2.4134769437743775,0.0,0.0,0.0415296337592231,3200.0,3.384047592382755e-05,3.7788844509523474e-05,2.3017070608464103e-05,0.0275814528200784,0.0091724518531106,0.5258408453490457,0.4252457702920465,0.7971778674580957,0.012671745916316,0.5099160574057595,0.0252025500518361,0.945105799963952,0.7932327965780467,1.4988077456825306,0.0037689383242293,0.0077520676547433,0.0004056652884667,1.0474402722334153,18.25594521301709,0.00026410373471641435,0.00010942873740628696,True,True,True
32755,G800_T300,0.8,30.0,0.6343898183732286,0.0002758900447695,0.0006586430077152,2.3873387974738924,0.0,0.0,0.1,0.6343898183732286,0.0002759563685883759,0.0006587771877244208,2.387251256763242,0.0,0.0,0.0541046293296983,3847.0,0.0001380239419528,0.0001455553511215,9.407615864827208e-05,0.1507650135907264,0.0369561686617716,1.1728595371347172,0.0983638954871341,1.2014945156975012,0.0036910667447422,0.1919442340836177,0.2143028750000558,1.5874217342285517,0.1566963087842527,1.7688906629990977,0.0015613752001091,0.0646803281287939,0.0075825819665695,0.4440347830151935,28.292101552129377,8.75407106506465e-05,3.667008673789063e-05,True,True,True
28634,G800_T400,0.8,40.0,0.4994407169892386,0.0003479621924689,0.0007929801193093,2.278926091604349,0.0,0.0,0.1,0.4994407169892386,0.00034799954779326364,0.0007930792862945933,2.278966427754494,0.0,0.0,0.057395043090694,4001.0,0.0001384876192765,0.0001630312507244,8.412122472592659e-05,0.146143040702115,0.0350182424612419,0.3768605024167274,0.2580874383052743,1.5982140146947394,0.0021340745022572,1.033553125309597,0.0108167419672167,0.5758158892375249,0.1962808537286716,1.2090233835450257,0.00366647351376,0.0098005247751022,0.0096773904405641,0.2310157436953657,13.304124014634828,4.0336150145314775e-05,1.7699317398483443e-05,True,True,True
38506,G950_T400,0.95,40.0,2.3723434056988806,0.0022760139076777,0.0050757472992016,2.23010381530598,0.0,0.0,0.1,2.3723434056988806,0.0022762170252860893,0.005076426695404998,2.2302032886196166,0.0,0.0,0.0244710384636262,2181.0,0.0008477205701942,0.00098200572486,0.0005310170683234,1.306559124721623,0.21822546398862,0.2049824703141956,0.4959533893297166,1.5801903711131395,0.0458333954384531,0.6374190313166891,0.7777221089087152,1.8054766837842804,0.189545759311078,1.542569287262034,0.001229310425058,0.005642839845021,0.0003011075689083,0.7714866564325942,24.505450915678185,9.947331363679979e-05,4.460280107396342e-05,True,True,True
15395,G800_T300,0.8,30.0,0.6343898183732286,3.808712711643572e-05,8.299177695430317e-05,2.178998082490968,0.0,0.0,0.1,0.6343898183732286,3.8096540696833195e-05,8.300815796500372e-05,2.178889643171823,0.0,0.0,0.0523961064266569,3757.0,1.1725852914249438e-05,1.3727810314142751e-05,7.812181822417093e-06,0.0174804533096192,0.0031673231655736,0.1853498151763077,0.3727523875730063,0.9662799543618884,0.0183076540457434,0.1468064300554516,0.0250134373183088,0.5696655510799833,0.5873893319267798,0.910061870345496,0.0015460010477881,0.0197689198097895,0.0625772937651201,0.3321500193100924,22.57434833399986,0.00010843931914461535,4.976815575971969e-05,True,True,True
17407,G950_T400,0.95,40.0,2.3723434056988806,0.0022659295930266,0.0047642969186905,2.1025794152442097,0.0,0.0,0.1,2.3723434056988806,0.002265976211386328,0.00476461498322423,2.102676523823359,0.0,0.0,0.0620581820940615,4198.0,0.0015668044222816,0.0017654996375163,0.0010794119292771,1.3602846347894109,0.429753557034108,0.1819507511976645,0.2555961308847267,1.1191473379641614,0.0021034106621011,3.782264672076928,0.4061854198620308,1.854863538683233,0.7150258298744412,0.0209828629111006,0.0659794087763564,1.8776385421076145,0.0034675221259694,1.446766509939227,17.06273169284421,9.710857914946303e-05,4.6183318284682046e-05,True,True,True
27498,G650_T400,0.65,40.0,0.2318831900307179,0.0001581867988366,0.0003157727822229,1.9962018609978185,0.0,0.0,0.1,0.2318831900307179,0.00015815939207449828,0.00031576733037796213,1.9965133036754803,0.0,0.0,0.0795015812170959,4959.0,8.391187223827805e-07,9.537551336901437e-07,5.829273085154002e-07,0.0032890451363,0.000232103500576,0.0415943530828407,2.388850620271553,1.33969295560739,0.1027856674051138,0.1966864677049534,0.031406405483284,0.43877576178183,0.9941687433385856,0.0349068604727175,0.0399675978182287,0.2932573698675677,0.0016965544352703,0.1322060466115327,4.21274426479945,0.00031144267766181066,0.0001559932894453848,True,True,True
34287,G250_T400,0.25,40.0,0.0416200597491032,0.0007167457335177,0.0013532744141195,1.888081575983311,0.0,0.0,0.1,0.041620059749103204,0.0007170229075160071,0.001353654310661769,1.887881539728282,0.0,0.0,0.0744393683527011,4737.0,0.0002148881988849,0.0002474390372438,0.0001478972115281,0.2524178445468792,0.059215505693058,0.6059626590894301,2.5081325033328783,1.204563323150097,0.0046849468446926,0.988483274940314,0.4090780033094514,1.2271596194187782,1.8551401004095784,1.2774873123656734,0.0026427408603275,0.0584968756871602,0.0146196878631934,1.147994205712284,10.96655702737635,0.00020003625502895694,0.00010595805447504278,True,True,True
37318,G950_T100,0.95,10.0,7.590606032937742,0.1165335437577805,0.218443325324312,1.8745102764432773,0.0,0.0,0.1,7.590606032937742,0.11652618624332621,0.2184248106271324,1.8744697451182757,0.0,0.0,0.0719798851370888,4635.0,0.0986486642914826,0.1034665029060913,0.0679655486029333,37.33652700182406,26.59765475524547,0.0230805977748588,1.0517843960037396,1.1644213727975352,0.0678026925506486,0.1302535145162896,0.1051287702396878,0.0107362134621885,0.0264730751611372,0.0695998910460436,0.0279731432159267,0.0567649035503637,0.0045075075749585,0.2869515067137499,17.496963818828746,4.053132500159151e-05,2.1622821657777174e-05,True,True,True
