experimental_ratio,sample_id,model_ratio_dt0p05,relative_error,absolute_log_ratio_distance,G_peak,tau_G_ms,calibration_score_corrected
1.6359295439505144,18319,1.6380895870690209,0.001320376617987007,0.0013195056873336957,0.65,20.0,0.0411958200496919
1.694672,29959,1.6844056088790298,0.006058040211303517,0.006076464584989119,0.65,7.5,0.0253538288515926
1.876748,37318,1.8744697451182757,0.001213937556733491,0.0012146749757768404,0.95,10.0,0.0719798851370888
1.891305,34287,1.887881539728282,0.0018101048068492887,0.0018117450261666106,0.25,40.0,0.0744393683527011
4.072559,27084,3.9737963111407653,0.024250769321999988,0.024549661363435015,0.4,20.0,0.0476400260926178
