sample_id,calibration_score_corrected,r_max_confirmed_or_screen,G_peak_at_max,tau_G_ms_at_max,corrected_rank,control_plateau_PO_140_250,control_early_PO_140_200,control_late_PO_200_500,control_charge_PO_ms,control_integrated_open_state_140_500_ms,kon_A_per_ms,kon_B_per_ms,koff_A_per_ms,koff_B_per_ms,kf_plus_per_ms,ks_plus_per_ms,kf_minus_per_ms,ks_minus_per_ms,kd1_plus_per_ms,kd1_minus_per_ms,kd2_plus_per_ms,kd2_minus_per_ms,pulse_amplitude_au,glutamate_tau_ms
10052,0.0045072059678528,10.528605461120604,0.3,30.0,460.0,3.3937685628023774e-05,3.726348514454297e-05,2.1167202752751565e-05,0.1163220706879538,0.008585969934498,2.2001220656202065,0.6029706869711292,1.5867922885642205,0.022299459837967,0.5016234386740213,0.1511570603894753,0.7375380860155669,0.7181940628863113,0.0095754766298379,0.1067032607384072,1.4164345257046371,0.0004001799511279,0.1815837404874221,28.85283358458329
27084,0.0476400260926178,3.969853639602661,0.4,20.0,3522.0,0.0003692266728403,0.0004132667165388,0.0002522110797962,1.0439220489736674,0.1004593269311879,0.9123711185398556,0.454507463335552,0.6122732058299801,0.0054784367841721,0.2658075473820116,0.4070840798409506,0.3099960091586744,0.5501033309812372,0.1262548464673789,0.4048951820300551,0.7305317504598479,0.0005224163573627,0.6504440130548192,20.310696581479377
3687,0.077035852757876,3.490917205810547,0.8,40.0,4867.0,1.6526746861943544e-05,1.990208541333285e-05,1.0828499838916254e-05,0.0487306276803611,0.0044426750764748,0.2607692474541931,0.6144540738854791,1.478760940982932,0.0010264121634041,0.1501056270260597,0.113067652141327,0.2580068314259001,1.2093457410821007,0.0743504740872255,0.0111781603553602,1.3094612206207592,0.0005589691868103,1.522292861051143,13.331567032854952
6863,0.0198607644609526,2.8931779861450195,0.95,15.0,1851.0,4.447429360150941e-05,5.026788481080562e-05,2.9432716476354376e-05,0.0672355073267444,0.0118458880315546,0.1631641084127956,0.1413525367040191,0.9207549281761116,0.0031294350690316,1.189407179933894,0.0157806915208851,1.5641031381261148,0.2331820109709248,1.0880197671810732,0.0011843193731321,0.0054729387057903,0.0136513421956941,1.8803581088197323,21.30357102224744
49029,0.0746899848533116,2.8466811180114746,0.3,40.0,4747.0,0.000312916128711,0.0003660730033407,0.0002130453640189,0.6698859977826163,0.0858779894061119,1.745410172940446,1.215929597407838,1.9889534121208403,0.0068280078819255,0.1454579052687717,0.2778226435765207,0.4202552116938689,0.225132234571287,0.0257348765708818,0.059313205104349,0.9195512895597404,0.0018927038460653,1.4793756838785503,5.974503082553583
39172,0.0751499399478616,2.7656824588775635,0.95,40.0,4768.0,5.100436674778525e-07,6.003942478699803e-07,3.454109620292251e-07,0.0010945476061957,0.0001396469434809,0.1771052009941531,0.6487582122137543,1.997221401366376,0.0037828548935624,0.1348751294399883,0.0155795356213152,0.8344996934480626,1.8110145357998213,0.0170713243448522,0.1242826412357352,1.6553047986521192,0.0009847470284395,0.7751065003106191,18.909881209610266
43651,0.021122048238902,2.664806604385376,0.65,20.0,1951.0,0.0003995263053583,0.0004599655886167,0.000259468063793,0.7582372914960559,0.105438354454902,0.2702789923529883,0.5708610930802472,1.05186934598667,0.003401239571866,0.2181781682223005,0.2409572746108034,0.3979652424104235,0.1153101198104452,0.3860092355041873,0.0057833631798,1.672926379872275,0.0004549808082846,1.7764009555693836,10.755077978972006
47327,0.0723587862831813,2.6544015407562256,0.65,40.0,4651.0,0.0001623217602969,0.0001958404722383,0.0001018147275019,0.215636389226149,0.042294846584868,1.4677619015061587,0.2648179885939589,1.934128445815076,0.0302142716984684,0.9527875937417386,0.0251933228018347,0.1783312981145711,0.6612311100338333,1.422940166214422,0.002487219524607,0.1211170818220244,0.0004157172969277,1.0671478612346392,10.036565048498288
1900,0.0024290482190339,2.464842796325684,0.15,40.0,212.0,1.3722493020801474e-06,1.5342417152405246e-06,8.78413953750311e-07,0.0024821609515311,0.0003555786890395,1.5786985357744516,2.547029450558162,0.4911032709168706,0.0286621447912829,0.1244683370774107,0.012042787682498,1.7374592763087422,0.5457762888313006,0.2932267475103853,0.0056137535340637,0.635397857005711,0.0003467450458982,0.3250764520530703,8.778928962474936
46829,0.0415296337592231,2.414612054824829,0.5,40.0,3200.0,3.384047592382755e-05,3.7788844509523474e-05,2.3017070608464103e-05,0.0275814528200784,0.0091724518531106,0.5258408453490457,0.4252457702920465,0.7971778674580957,0.012671745916316,0.5099160574057595,0.0252025500518361,0.945105799963952,0.7932327965780467,1.4988077456825306,0.0037689383242293,0.0077520676547433,0.0004056652884667,1.0474402722334153,18.25594521301709
32755,0.0541046293296983,2.38668155670166,0.8,30.0,3847.0,0.0001380239419528,0.0001455553511215,9.407615864827208e-05,0.1507650135907264,0.0369561686617716,1.1728595371347172,0.0983638954871341,1.2014945156975012,0.0036910667447422,0.1919442340836177,0.2143028750000558,1.5874217342285517,0.1566963087842527,1.7688906629990977,0.0015613752001091,0.0646803281287939,0.0075825819665695,0.4440347830151935,28.292101552129377
28634,0.057395043090694,2.278776168823242,0.8,40.0,4001.0,0.0001384876192765,0.0001630312507244,8.412122472592659e-05,0.146143040702115,0.0350182424612419,0.3768605024167274,0.2580874383052743,1.5982140146947394,0.0021340745022572,1.033553125309597,0.0108167419672167,0.5758158892375249,0.1962808537286716,1.2090233835450257,0.00366647351376,0.0098005247751022,0.0096773904405641,0.2310157436953657,13.304124014634828
38506,0.0244710384636262,2.229530096054077,0.95,40.0,2181.0,0.0008477205701942,0.00098200572486,0.0005310170683234,1.306559124721623,0.21822546398862,0.2049824703141956,0.4959533893297166,1.5801903711131395,0.0458333954384531,0.6374190313166891,0.7777221089087152,1.8054766837842804,0.189545759311078,1.542569287262034,0.001229310425058,0.005642839845021,0.0003011075689083,0.7714866564325942,24.505450915678185
15395,0.0523961064266569,2.1784861087799072,0.8,30.0,3757.0,1.1725852914249438e-05,1.3727810314142751e-05,7.812181822417093e-06,0.0174804533096192,0.0031673231655736,0.1853498151763077,0.3727523875730063,0.9662799543618884,0.0183076540457434,0.1468064300554516,0.0250134373183088,0.5696655510799833,0.5873893319267798,0.910061870345496,0.0015460010477881,0.0197689198097895,0.0625772937651201,0.3321500193100924,22.57434833399986
