cell_id,date,control_plateau_level_nA,ro25_plateau_level_nA,delta_plateau_level_nA,r_plateau,log_r_plateau
2022-10-17_cell2,2022-10-17,-0.0456644892692565,-0.0747038871049881,-0.0290393978357315,1.6359295439505144,0.4922111712082687
2022-10-17_cell1,2022-10-17,-0.0456644892692565,-0.0773863419890403,-0.0317218527197837,1.6946722327876855,0.5274893491468308
2022-11-18_cell3,2022-11-18,-0.0335309505462646,-0.0629291534423828,-0.0293982028961181,1.876748270394414,0.6295406358743939
2022-10-12_cell1,2022-10-12,-0.1076109409332275,-0.2035251520574093,-0.0959142111241817,1.8913053848650607,0.6372672704847958
2022-11-18_cell2,2022-11-18,-0.0335309505462646,-0.1365567743778228,-0.1030258238315582,4.072558998570809,1.404271548453782
