model,prior,condition_id,condition_label,G_peak,tau_G_ms,G_floor,n,n_valid,braess_fraction,r_q05,r_q25,r_median,r_q75,r_q95,r_max,braess_r_median,median_nearest_log_target_distance,target_q10_log_distance_mean,target_q10_log_distance_max,empirical_span_fraction,b_timescale_scale,timescale_contrast_R,a_timescale_scale,contrast_regime
dual,broad,G100_T050_R160,"G=0.1, tau=5 ms, R=16",0.1,5.0,0.0,5000,5000,0.1396,0.1640527989724996,0.4415049069023085,0.7331907535509485,0.9541132036018034,1.1623632239010966,5.649783554675904,1.0935217792329586,0.4028077251270194,0.3632822730568689,0.987511868800874,0.0102,0.25,16.0,4.0,stress_test
dual,reference,G200_T050_R010,"G=0.2, tau=5 ms, R=1",0.2,5.0,0.0,5000,5000,0.042,0.4586128508467261,0.657771817714135,0.7943227912625,0.9086631833795752,0.995271025922202,1.108699348853192,1.0266399550245289,0.4659198813561962,0.6853256852432905,1.3514412386634582,0.0,1.0,1.0,1.0,nested_null
