prior,witness_type,condition_id,G_peak,tau_G_ms,sample_id,calibration_score,control_plateau_dt0p1,blocked_plateau_dt0p1,r_plateau_dt0p1,control_plateau_dt0p05,blocked_plateau_dt0p05,r_plateau_dt0p05,abs_r_difference_dt0p1_vs_dt0p05,braess_direction_dt0p1,braess_direction_dt0p05,fine_effective_dt_ms,kon_A_per_ms,kon_B_per_ms,koff_A_per_ms,koff_B_per_ms,kf_plus_per_ms,ks_plus_per_ms,kf_minus_per_ms,ks_minus_per_ms,kd1_plus_per_ms,kd1_minus_per_ms,kd2_plus_per_ms,kd2_minus_per_ms,pulse_amplitude_au,glutamate_tau_ms
broad,typical_braess_at_max_frequency_node,G950_T100,0.95,10.0,28017,0.2602294450911792,0.25937164737215757,0.2615570323811569,1.0084256896663175,0.2593706951043983,0.261555764719224,1.0084245046031364,1.1850631811416434e-06,True,True,0.05,0.7415152241922276,0.3293220663302182,0.2147535842041633,0.001784233054223,0.886164305024914,0.0120801632027923,0.136986478649687,0.0106659165536273,0.0397483315665825,0.1486834913388077,0.184984402896253,0.045277342454738,0.3150117663828197,24.2028993729372
broad,strongest_confirmed_braess,G950_T100,0.95,10.0,37318,0.3658954764216497,0.11653354375778066,0.21844332532431232,1.8745102764432786,0.1165261862433259,0.21842481062713281,1.8744697451182841,4.0531324994486084e-05,True,True,0.05,0.0230805977748588,1.0517843960037396,1.1644213727975352,0.0678026925506486,0.1302535145162896,0.1051287702396878,0.0107362134621885,0.0264730751611372,0.0695998910460436,0.0279731432159267,0.0567649035503637,0.0045075075749585,0.2869515067137499,17.496963818828746
broad,closest_to_experimental_minimum_ratio,G950_T100,0.95,10.0,14439,0.3070076373406549,0.3429022553326073,0.5418752756092312,1.5802616261115712,0.34288568495289046,0.5418490057042297,1.5802613800534573,2.460581138841178e-07,True,True,0.05,0.0391977846449661,1.4153687554291368,0.8882130445834533,0.0724185416355276,0.3015368541628642,0.1391898132387872,0.0479165989491366,0.0160275069505799,0.0054605692898123,0.0189686439678321,0.0078507976419939,0.0010129306274882,0.308607649257155,3.960599739124661
reference,typical_braess_at_max_frequency_node,G950_T100,0.95,10.0,21647,0.7169774054196691,0.5540896664078906,0.5580689164899887,1.0071815995196143,0.5540898965896645,0.5580696358549078,1.0071824793950188,8.798754045358237e-07,True,True,0.05,0.6655544258666329,0.265084674648783,0.1825699901609264,0.0709551203376763,3.247442081177068,0.9379534537187116,0.2610899240285334,0.2524423933180839,0.3115248963557328,0.141879480703199,0.2745978566821902,0.0088784096067229,0.979140849534728,14.291710344740531
reference,strongest_confirmed_braess,G200_T150,0.2,15.0,13993,0.7755836036408092,0.01944888472882359,0.0219723968662967,1.129750994602442,0.01945039613234265,0.021974642165423285,1.1297786438849566,2.764928251464127e-05,True,True,0.05,2.107063545354636,0.8487325374800112,0.5874097993369801,0.1297703017389585,2.8123446042421203,0.1669488768663742,1.1971229923850195,0.207356728760453,0.3358196882741993,0.032837008362741,1.2946397539473418,0.0151290563148012,1.187434414924209,28.39878477651406
reference,closest_to_experimental_minimum_ratio,G200_T150,0.2,15.0,13993,0.7755836036408092,0.01944888472882359,0.0219723968662967,1.129750994602442,0.01945039613234265,0.021974642165423285,1.1297786438849566,2.764928251464127e-05,True,True,0.05,2.107063545354636,0.8487325374800112,0.5874097993369801,0.1297703017389585,2.8123446042421203,0.1669488768663742,1.1971229923850195,0.207356728760453,0.3358196882741993,0.032837008362741,1.2946397539473418,0.0151290563148012,1.187434414924209,28.39878477651406
