parameter,mean,median,q025,q975,analysis,model
sigma_log_ratio,0.25224120171560205,0.24307267726642712,0.09763285428798878,0.46721693353265975,primary_all11,M0_historical_accepted
pi_strong_occupancy,0.4583333328738977,0.4559230352847139,0.19779161192628897,0.7326266061402393,primary_all11,M1_two_state_factor_width
sigma_log_ratio,0.22906316691668963,0.2243439336058011,0.04629503160294203,0.4606350173573201,primary_all11,M1_two_state_factor_width
pi_strong_occupancy,0.4583333327336775,0.45592303488624775,0.1977916121147201,0.7326266060981657,primary_all11,M2_response_tilt
beta_tilt,-0.2941783406897664,-0.1720049992983514,-2.786269506061568,1.9405527545227308,primary_all11,M2_response_tilt
sigma_log_ratio,0.24429349430240435,0.23908599688985446,0.058165527289826574,0.4712047928278891,primary_all11,M2_response_tilt
pi_strong_occupancy,0.458333332585251,0.45592303471122353,0.19779161203226292,0.7326266061218363,primary_all11,M2_distance_tilt
beta_tilt,-0.10600646818470383,-0.11051881000923797,-2.853226451864011,2.6812777699955266,primary_all11,M2_distance_tilt
sigma_log_ratio,0.23559616694476557,0.23041479442344628,0.05261287823657895,0.46348869398356674,primary_all11,M2_distance_tilt
