analysis,model,elpd_loo,waic,p_waic,log_evidence_grid,delta_elpd_vs_best,delta_elpd_se,best_by_elpd
primary_all11,M0_historical_accepted,-50.096329037143036,99.79454133032984,1.8844474918769794,-49.16986923140063,-33.582535525082,14.402872771453286,False
primary_all11,M1_two_state_factor_width,-16.513793512061028,31.867990374573544,2.979101748381349,-15.47302436677375,0.0,0.0,True
primary_all11,M2_response_tilt,-17.281936001094238,32.88224927666661,3.528366089093664,-15.842345834023403,-0.7681424890332078,0.4631929018255389,False
primary_all11,M2_distance_tilt,-16.6203145141839,32.08987006861965,3.0701837466823445,-15.531090671264872,-0.1065210021228733,0.13089749266946718,False
leave_extreme_out10,M0_historical_accepted,-37.19231129320922,74.18921575200802,1.3610403287711361,-36.719305335627325,-27.293350377818026,13.755764466072073,False
leave_extreme_out10,M1_two_state_factor_width,-10.306611740403062,20.61726751941383,2.257748233402607,-10.554837197264327,-0.4076508250118689,0.6112819196918016,False
leave_extreme_out10,M2_response_tilt,-9.898960915391193,19.795024838045364,2.627069766321285,-10.481942417292586,0.0,0.0,True
leave_extreme_out10,M2_distance_tilt,-10.415145932603263,20.725953828508963,2.640267981494314,-10.49294671316141,-0.5161850172120701,0.757666854724631,False
resolved_only10,M0_historical_accepted,-49.84964627017696,99.36348291403075,1.4228269978198516,-49.315920956337365,-34.490058774750004,14.251741861104724,False
resolved_only10,M1_two_state_factor_width,-15.359587495426952,30.11134363742037,2.3151229374688453,-15.009436585834436,0.0,0.0,True
resolved_only10,M2_response_tilt,-15.926613854671599,30.91491404862971,2.7784934278232614,-15.324372267591178,-0.5670263592446467,0.34347662261523626,False
resolved_only10,M2_distance_tilt,-15.433306540725933,30.245156638384497,2.397704774334166,-15.043436030533938,-0.0737190452989811,0.11078769883620615,False
resolved_leave_extreme9,M0_historical_accepted,-37.74239973433256,75.41714554031745,1.047326682534333,-37.406498821455266,-26.90245082807015,13.400349227805131,False
resolved_leave_extreme9,M1_two_state_factor_width,-11.109553965301611,22.194542197709836,1.9158214077462994,-11.038620739038086,-0.2696050590392094,0.36921969318072023,False
resolved_leave_extreme9,M2_response_tilt,-10.839948906262402,21.668214773192386,2.2987530456450394,-11.026013503372184,0.0,0.0,True
resolved_leave_extreme9,M2_distance_tilt,-11.078920069902791,22.083655910095725,2.0976076818561213,-10.967197612602925,-0.2389711636403895,0.3940757897061363,False
