factor,n,historical_compatible_fraction,corrected_compatible_fraction,historical_strong_and_compatible_fixed_fraction,corrected_strong_and_compatible_fixed_fraction,historical_strong_and_compatible_highG_fraction,corrected_strong_and_compatible_highG_fraction,delta_fixed_joint_fraction,median_historical_score,median_corrected_score
1.25,600,0.9533333333333334,0.6866666666666666,0.9333333333333333,0.675,0.9333333333333333,0.675,-0.2583333333333333,0.30703579586071117,0.04393777664026739
1.5,600,0.8666666666666667,0.5216666666666666,0.6816666666666666,0.3983333333333333,0.6816666666666666,0.3983333333333333,-0.2833333333333333,0.3079408779879135,0.07491747048129149
2.0,600,0.6366666666666667,0.32666666666666666,0.31833333333333336,0.155,0.32,0.155,-0.16333333333333336,0.43202794914554415,0.18404156856580994
3.0,600,0.465,0.22166666666666668,0.115,0.05333333333333334,0.11666666666666667,0.05333333333333334,-0.06166666666666667,0.6464447226830721,0.37246813029839343
5.0,600,0.30333333333333334,0.13333333333333333,0.023333333333333334,0.005,0.023333333333333334,0.005,-0.018333333333333333,1.1747808466303749,0.8577646483999597
