prior,n_candidates,accepted_target_n,historical_accepted_n,corrected_accepted_n,intersection_n,symmetric_difference_n,jaccard,score_spearman,historical_max_accepted_score,historical_min_rejected_score,historical_cutoff_midpoint,corrected_max_accepted_score,corrected_min_rejected_score,corrected_cutoff_midpoint,median_corrected_window_fraction_of_full_charge
broad,50000,5000,5000,5000,2820,4360,0.39275766016713093,0.882704607471258,0.5802103692943137,0.580246268976824,0.5802283191355688,0.0806451494470612,0.08065664483798474,0.08065089714252296,0.5508525848178796
reference,50000,5000,5000,5000,1414,7172,0.16468669927789426,0.7761368477188707,0.8991758130682909,0.8992955395604179,0.8992356763143543,0.026467773068235476,0.02647627100865475,0.026472022038445113,0.41677996970427467
