perturbation_pct,n,historical_compatible_fraction,corrected_compatible_fraction,historical_strong_and_compatible_fraction,corrected_strong_and_compatible_fraction,delta_joint_fraction,median_historical_score,median_corrected_score
2,3000,1.0,0.823,1.0,0.823,-0.17700000000000005,0.36566320006023306,0.07180858604977478
5,3000,1.0,0.6366666666666667,1.0,0.6366666666666667,-0.3633333333333333,0.3664072898004457,0.07226011486210887
10,3000,0.995,0.5533333333333333,0.995,0.5533333333333333,-0.44166666666666665,0.367761338717452,0.07336428770549158
20,3000,0.8753333333333333,0.5196666666666667,0.8643333333333333,0.5156666666666667,-0.34866666666666657,0.37213480936183024,0.076573894920723
