quantity,historical,corrected,delta
broad_retained_set_jaccard,1.0,0.39275766016713093,-0.607242339832869
witness_37318_calibration_score,0.3658954764216497,0.07197988513708883,-0.2939155912845609
retained_broad_strong_n_primary_threshold,1.0,40.0,39.0
step20_plusminus5_joint_fraction,1.0,0.6366666666666667,-0.3633333333333333
step21_factor1p5_joint_fraction,0.6816666666666666,0.3983333333333333,-0.2833333333333333
