threshold,precal_strong_anywhere_n,precal_strong_anywhere_fraction,accepted_strong_anywhere_n,accepted_strong_anywhere_fraction,accepted_fixed_node_n,accepted_fixed_node_fraction,experimental_all11_k,experimental_all11_n,experimental_all11_fraction,jeffreys_pi_mean_all11,jeffreys_pi_q025_all11,jeffreys_pi_q975_all11,experimental_leave_extreme_k,experimental_leave_extreme_n,experimental_leave_extreme_fraction,jeffreys_pi_mean_leave_extreme,jeffreys_pi_q025_leave_extreme,jeffreys_pi_q975_leave_extreme,occupancy_enrichment_vs_accepted_fixed_node,n_exact_guard_candidates
1.5,1672,0.03344,3,0.0006,3,0.0006,5,11,0.45454545454545453,0.4583333333333333,0.19966433007759757,0.7301362536152955,4,10,0.4,0.4090909090909091,0.15306710112617597,0.6963205143995117,763.8888888888889,390
1.6,1360,0.0272,1,0.0002,1,0.0002,5,11,0.45454545454545453,0.4583333333333333,0.19966433007759757,0.7301362536152955,4,10,0.4,0.4090909090909091,0.15306710112617597,0.6963205143995117,2291.6666666666665,271
1.6359295439505144,1261,0.02522,1,0.0002,1,0.0002,5,11,0.45454545454545453,0.4583333333333333,0.19966433007759757,0.7301362536152955,4,10,0.4,0.4090909090909091,0.15306710112617597,0.6963205143995117,2291.6666666666665,245
1.7,1121,0.02242,1,0.0002,1,0.0002,3,11,0.2727272727272727,0.2916666666666667,0.08348175983019415,0.5650954805017856,2,10,0.2,0.22727272727272727,0.044059413552630794,0.502774496439993,1458.3333333333333,212
1.8,947,0.01894,1,0.0002,1,0.0002,3,11,0.2727272727272727,0.2916666666666667,0.08348175983019415,0.5650954805017856,2,10,0.2,0.22727272727272727,0.044059413552630794,0.502774496439993,1458.3333333333333,140
