factor,n,strong_fixed_fraction,control_compatible_fraction,strong_and_compatible_fixed_fraction,strong_and_compatible_highG_fraction,median_calibration_score,median_r_fixed,q05_r_fixed,q95_r_fixed,max_r_fixed,max_r_highG,mean_log_box_width
1.25,600,0.97,0.9533333333333334,0.9333333333333333,0.9333333333333333,0.3070357958607112,1.8584323532991451,1.6595271143167591,2.101400487482925,2.3000334911962743,2.3000334911962743,0.42694013563510386
1.5,600,0.7483333333333333,0.8666666666666667,0.6816666666666666,0.6816666666666666,0.3079408779879136,1.7801224548286858,1.4597542764107612,2.2687606986709006,2.6429339085433035,2.6429339085433035,0.7494292282372291
2.0,600,0.49,0.6366666666666667,0.31833333333333336,0.32,0.4320279491455442,1.6241252057719884,1.2197071314313563,2.3528743566409376,3.0678125249957175,3.0678125249957175,1.2401871579640849
3.0,600,0.29,0.465,0.115,0.11666666666666667,0.6464447226830721,1.3753965924356524,1.0199163998430516,2.175726538950303,3.638058905442527,3.638058905442527,1.9013209836176916
5.0,600,0.12166666666666667,0.30333333333333334,0.023333333333333334,0.023333333333333334,1.1747808466303749,1.1409322486579851,0.8351673263612208,2.0410527399689404,4.440515097184863,4.440515097184863,2.6675594192666776
