sample_id_a,sample_id_b,mode,lambda,calibration_score,calibration_H,calibration_E,calibration_L,calibration_J_corrected_140_500_ms,calibration_J_full_0_600_ms,r_plateau_dt0p05,control_plateau_PO_dt0p05,blocked_plateau_PO_dt0p05,G_peak,tau_G_ms,minimum_state_control,minimum_state_blocked,compatible_midpoint,compatible_strict,strong,kon_A_per_ms,kon_B_per_ms,koff_A_per_ms,koff_B_per_ms,kf_plus_per_ms,ks_plus_per_ms,kf_minus_per_ms,ks_minus_per_ms,kd1_plus_per_ms,kd1_minus_per_ms,kd2_plus_per_ms,kd2_minus_per_ms,pulse_amplitude_au,glutamate_tau_ms,path_role
27084,30902,native_aux,0.0,0.0476400260925369,0.0003692266728403,0.0004132667165387,0.0002522110797961,0.1004593269311829,1.043922048973651,3.9737963111408137,0.0011742717165773,0.0046663166156119,0.4,20.0,0.0,0.0,True,True,True,0.9123711185398556,0.454507463335552,0.6122732058299801,0.0054784367841721,0.2658075473820116,0.4070840798409505,0.3099960091586744,0.5501033309812372,0.1262548464673789,0.4048951820300551,0.7305317504598479,0.0005224163573627,0.6504440130548192,20.310696581479377,internal_native
27084,30902,native_aux,0.025,0.0466116887469517,0.0003614245909467,0.000404735619538,0.0002466515388487,0.0982795988268936,0.9992305103743556,3.954140424983431,0.0011447065929834,0.0045263306140608,0.4,20.0,0.0,0.0,True,True,True,0.902890885121447,0.451118900269861,0.6127652323645226,0.0053906957074536,0.2670370367564624,0.3783809770070286,0.3038088157855624,0.5513438763430991,0.1280887625134408,0.3887521649868081,0.7288450777480002,0.0005376395595477,0.644788957181785,20.322577220714177,internal_native
27084,30902,native_aux,0.05,0.0455462625069356,0.0003537925208311,0.0003963831345755,0.0002412077589116,0.0961453157480386,0.9565356609159468,3.9279407132606488,0.0011180638287361,0.0043916884329168,0.4,20.0,0.0,0.0,True,True,True,0.8935091585757804,0.4477556005069239,0.6132576542946313,0.0053043598667262,0.2682722131181217,0.3517017020580405,0.2977451122662073,0.5525872192753595,0.1299493171255309,0.3732527638985645,0.72716229927461,0.0005533063655394,0.639183067195876,20.334464809468816,internal_native
27084,30902,native_aux,0.075,0.0444449798781459,0.0003463264289965,0.0003882053914335,0.0002358771413094,0.0940554658788499,0.9157456994904144,3.895597393020225,0.001094040155484,0.0042619399775629,0.4,20.0,0.0,0.0,True,True,True,0.8842249153411408,0.4444173756971503,0.6137504719380482,0.005219406756132,0.2695131027720755,0.3269035568567312,0.29180243387338,0.5538333660868566,0.1318368972424088,0.3583713180417789,0.7254834060485477,0.0005694297019438,0.6336259156416415,20.34635935180837,internal_native
27084,30902,native_aux,0.1,0.0433091857923333,0.0003390224053702,0.0003801986160243,0.0002306571585801,0.0920090645354978,0.8767730835542628,3.8646041399947473,0.0009682533944797,0.0037419160768705,0.5,40.0,0.0,0.0,True,True,True,0.8750371424914016,0.4411040388951824,0.6142436856127707,0.0051358142302608,0.2707597321450832,0.3038539047728186,0.2859783650732064,0.555082323100656,0.133751895423317,0.3440831897762025,0.7238083890994416,0.0005860228720478,0.6281170787799915,20.35826085180029,internal_native
27084,30902,native_aux,0.125,0.042140349086223,0.0003318766569001,0.0003723591264284,0.0002255453513132,0.0900051529796706,0.8395343313744219,3.840430468490119,0.0009505913528988,0.0036506799947561,0.5,40.0,0.0,0.0,True,True,True,0.8659448376255134,0.4378154045494273,0.6147372956370525,0.0050535604983768,0.2720121277861412,0.2824294612559155,0.2802705385433214,0.5563340966540822,0.135694709929621,0.3303647237549405,0.722137239477633,0.0006030995667963,0.6226561365558857,20.37016931351444,internal_native
27084,30902,native_aux,0.15,0.0409400740601918,0.0003248855018828,0.0003646833296137,0.0002205393252475,0.0880427973510916,0.8039498333659347,3.810743545495155,0.0009348324114983,0.003562406578237,0.5,40.0,0.0,0.0,True,True,True,0.8569470087581396,0.4345512884916642,0.6152313023294022,0.0049726241187383,0.2732703163670478,0.2625156344294648,0.274676634210617,0.5575886930987516,0.1376657448076361,0.3171932077607895,0.7204699482541247,0.0006206738760874,0.617242672566304,20.382084741023053,internal_native
27084,30902,native_aux,0.175,0.0397101122455467,0.000318045364944,0.0003571677187494,0.0002156367486027,0.086121087705784,0.7699436721132453,3.775848595416612,0.0009207973751861,0.0034767914757598,0.5,40.0,0.0,0.0,True,True,True,0.8480426742114304,0.4313115079267315,0.6157257060085849,0.0048929839930084,0.2745343246829714,0.2440059121787566,0.2691943783081974,0.5588461188006038,0.1396654099726563,0.3045468351040149,0.718806506520536,0.0006387603003992,0.611876274028496,20.3940071384007,internal_native
27084,30902,native_aux,0.2,0.0384523744691143,0.0003113527726175,0.0003498088710735,0.00021083534962,0.0842391371504326,0.7374434506840368,3.736067589581116,0.0009083252650553,0.0033935645835709,0.5,40.0,0.0,0.0,True,True,True,0.8392308625079186,0.4280958814222907,0.616220506993622,0.0048146193607555,0.275804179653021,0.2268012924547719,0.2638215424511559,0.5601063801399342,0.1416941212942043,0.2924046685193158,0.7171469053890542,0.000657373762753,0.6065565317485043,20.4059365097244,internal_native
27084,30902,native_aux,0.225,0.0371689432824737,0.0003048043494949,0.0003426034463141,0.0002061329142915,0.0823960810663042,0.7063801288619534,3.691737568929693,0.0008972701564539,0.0033124859460604,0.5,40.0,0.0,0.0,True,True,True,0.8305106122645303,0.4249042288986641,0.61671570560379,0.0047375097940406,0.2770799083208198,0.2108097537467509,0.258555942730798,0.561369483511427,0.1437523006825196,0.2807466055022015,0.7154911359923866,0.0006765296210268,0.6012830400899646,20.41787285907351,internal_native
