sample_id_a,sample_id_b,edge_role,mode,midpoint_cutoff_pass,strict_cutoff_pass,max_calibration_score,min_r_dt0p05,min_control_plateau_at_support_node_dt0p05,n_waypoints,path_stretch_standardized_log_rate
7273,49029,internal_native,native_aux,True,True,0.074689984852895,1.8568970295184355,0.0015441135560547,0,
6863,28634,internal_native,native_aux,True,True,0.057395043091129,2.278966427754494,0.0001056446650046,0,
1091,27872,internal_native,native_aux,True,True,0.0399851356980548,1.6579321053028424,0.0027519317959438,0,
3687,43651,internal_native,native_aux,True,True,0.0770358527578931,2.666451985596995,5.826777693736233e-05,0,
3687,30902,internal_native,native_aux,True,True,0.0780917076110925,1.8677175040524527,5.826777693736233e-05,0,
46829,47327,internal_native,native_aux,True,True,0.0723587862834127,2.4134769437743744,4.599266859191229e-05,0,
10052,27084,internal_native,native_aux,True,True,0.0476400260925369,3.973796311140765,6.621663621866921e-05,0,
27872,30902,internal_native,native_aux,True,True,0.0158765031423067,1.6579321053028424,0.0006468573465658,0,
16950,47327,internal_native,native_aux,True,True,0.0723587862834127,1.6611927743016006,0.0003823153521898,0,
27084,30902,internal_native,native_aux,True,True,0.0476400260925369,1.8677175040524527,0.0006468573465658,0,
12080,32755,internal_native,native_aux,True,True,0.0647961511013368,1.7070993663510574,0.0002759563685883,0,
28634,46829,internal_native,native_aux,True,True,0.057395043091129,2.278966427754494,4.599266859191229e-05,0,
31498,47327,internal_native,native_aux,True,True,0.0723587862834127,1.6581542522121218,0.0004174207572494,0,
13577,30902,internal_native,native_aux,True,True,0.0659385654961234,1.677235156294624,0.0004374417501656,0,
7273,46580,internal_native,native_aux,True,True,0.0461943309183217,1.8367051466789668,0.0047607657504381,0,
34287,41698,internal_native,native_aux,True,True,0.0744393683526995,1.662139390026964,0.000717022907516,0,
32755,36402,internal_native,native_aux,True,True,0.0571048134240178,1.7930066506203808,7.306256265787058e-05,0,
17407,28451,internal_native,native_aux,True,True,0.0769192993033474,1.659681379080199,0.0022659762113863,0,
12080,28634,internal_native,native_aux,True,True,0.0647961511013368,1.7070993663510574,0.0003479995477932,0,
30902,39172,internal_native,native_aux,True,True,0.0751499399478751,1.8677175040524527,1.273923786407392e-06,0,
232,30902,internal_native,native_aux,True,True,0.0276616472932173,1.7818901927483992,0.0001286173051321,0,
1091,26689,internal_native,native_aux,True,True,0.0553057886081016,1.6625056038832868,0.0002670971702294,0,
1091,16950,internal_native,native_aux,True,True,0.0669912692843677,1.6611927743015966,0.0004438816413956,0,
15395,28634,internal_native,native_aux,True,True,0.057395043091129,2.178889643171824,3.809654069683318e-05,0,
7273,13715,internal_native,native_aux,True,True,0.0461943309183217,1.6764341158343588,0.0007134621382272,0,
18319,43651,internal_native,native_aux,True,True,0.0455298288758724,1.6380895870690304,0.0014711553913616,0,
7273,30902,internal_native,native_aux,True,True,0.0540067086823842,1.8568970295184348,0.0006468573465658,0,
38506,46829,internal_native,native_aux,True,True,0.0415837567988148,2.230203288619617,4.599266859191229e-05,0,
27872,28451,internal_native,native_aux,True,True,0.0769192993033481,1.6579321053028453,0.008626019683525,0,
12080,41698,internal_native,native_aux,True,True,0.0650198524918614,1.662139390026964,0.0034633969364714,0,
18319,27495,internal_native,native_aux,True,True,0.0641067587457636,1.6380895870690304,0.0021342172336024,0,
1900,26689,internal_native,native_aux,True,True,0.0459273085353825,1.83612888442662,4.199358080135686e-06,0,
8859,26689,internal_native,native_aux,True,True,0.0539923028355071,1.660377625672477,0.0002645617938893,0,
27498,29959,bridge_curved_native,native_aux,True,True,0.0795015812171071,1.6844056088790311,0.0001581593920744,0,
34287,44207,bridge_curved_native,native_aux,True,True,0.0744393683526995,1.6664430262391152,0.0006442338710328,0,
17407,29419,bridge_curved_flex_aux,flex_aux,True,True,0.0804939739563271,1.6646579596348037,0.0022659762113863,0,
29959,6113,step28_multiwaypoint_bridge,native_aux,True,True,0.0496424875327638,1.6844056088790311,0.0001666496241243,2,2.1772127703357893
