series,E_nA,H_nA,L_nA,Q_pC,E_over_H,L_over_H,Q_over_H_ms,n_files,n_sweeps_total,raw_E_over_H,raw_L_over_H,raw_Q_over_H_ms,anchored_E_over_H,anchored_L_over_H,anchored_Q_over_H_ms,frozen_baseline_E_over_H,frozen_baseline_L_over_H,frozen_baseline_Q_over_H_ms
12.10.2022,-0.009616651478583206,-0.008238653276024356,-0.005069767342783061,-2.096238195420858,1.1672601281290742,0.6153636004487286,254.43942416185993,1,3,1.1672601281290742,0.6153636004487286,254.43942416185993,1.167,0.615,254.44,1.167,0.615,254.44
17.10.2022 cell1,-0.004152589382178267,-0.0019681743411208634,0.000780095356855031,-0.014833513852888633,2.109868671396962,0.39635480483439867,7.536686940264162,1,3,2.109868671396962,0.39635480483439867,7.536686940264162,2.11,0.396,7.539,2.11,0.396,7.539
02.12.2021 cell1,-0.3301390050178834,-0.34829292407717066,-0.27683870705234903,-102.85280636485419,0.9478774393496868,0.7948444769179702,295.30547207460717,1,3,0.9478774393496868,0.7948444769179702,295.30547207460717,0.948,0.795,295.305,0.948,0.795,295.305
17.10.2022 cell2,-0.04088878790709149,-0.037175197208039405,-0.023701078007727777,-9.562205795065623,1.099894310668216,0.6375508346355793,257.22004221130874,1,3,1.099894310668216,0.6375508346355793,257.22004221130874,1.1,0.638,257.22,1.1,0.638,257.22
02.12.2021 cell2,-0.2696411082556123,-0.277500792940943,-0.2780353427502804,-99.57937895451055,0.9716768928764706,1.0019263001149377,358.84358346933726,1,3,0.9716768928764706,1.0019263001149377,358.84358346933726,0.972,1.002,358.844,0.972,1.002,358.844
